Código,Nombre,Identificación,Teléfono,Celular,Email,Nombre Comercial,Tipo Cliente,País,Ciudad,Dirección,Nombre Contacto,dv,Nivel Precio,Días Crédito,Límite Crédito,Saldo Pendiente,Estado,Vendedor,Segmento,Notas
CLI-001,Empresa Cliente 1 Grande,2000000001,+507 5001-2001,+507 6101-9283,contacto@cliente1.com,Tienda 1,b2b,Panamá,Panamá City,Avenida 1, Local 6,Gerente 1,01,B,45,100000,0,active,Vendedor Master,GRANDE,Cliente recurrente para validación de flujo completo de ventas
CLI-002,Empresa Cliente 2 Grande,2000000002,+507 5002-2002,+507 6102-9283,contacto@cliente2.com,Tienda 2,b2b,Panamá,Panamá City,Avenida 2, Local 7,Gerente 2,01,C,45,100000,0,active,Vendedor Master,GRANDE,Cliente recurrente para validación de flujo completo de ventas
CLI-003,Empresa Cliente 3 Grande,2000000003,+507 5003-2003,+507 6103-9283,contacto@cliente3.com,Tienda 3,b2b,Panamá,Panamá City,Avenida 3, Local 8,Gerente 3,01,D,45,100000,0,active,Vendedor Master,GRANDE,Cliente recurrente para validación de flujo completo de ventas
CLI-004,Empresa Cliente 4 Grande,2000000004,+507 5004-2004,+507 6104-9283,contacto@cliente4.com,Tienda 4,b2b,Panamá,Panamá City,Avenida 4, Local 9,Gerente 4,01,E,45,100000,0,active,Vendedor Master,GRANDE,Cliente recurrente para validación de flujo completo de ventas
CLI-005,Empresa Cliente 5 Grande,2000000005,+507 5005-2005,+507 6105-9283,contacto@cliente5.com,Tienda 5,b2b,Panamá,Panamá City,Avenida 5, Local 10,Gerente 5,01,A,45,100000,0,active,Vendedor Master,GRANDE,Cliente recurrente para validación de flujo completo de ventas
CLI-006,Empresa Cliente 6 Grande,2000000006,+507 5006-2006,+507 6106-9283,contacto@cliente6.com,Tienda 6,b2b,Panamá,Panamá City,Avenida 6, Local 11,Gerente 6,01,B,45,100000,0,active,Vendedor Master,GRANDE,Cliente recurrente para validación de flujo completo de ventas
CLI-007,Empresa Cliente 7 Grande,2000000007,+507 5007-2007,+507 6107-9283,contacto@cliente7.com,Tienda 7,b2b,Panamá,Panamá City,Avenida 7, Local 12,Gerente 7,01,C,45,100000,0,active,Vendedor Master,GRANDE,Cliente recurrente para validación de flujo completo de ventas
CLI-008,Empresa Cliente 8 Grande,2000000008,+507 5008-2008,+507 6108-9283,contacto@cliente8.com,Tienda 8,b2b,Costa Rica,Panamá City,Avenida 8, Local 13,Gerente 8,01,D,45,100000,0,active,Vendedor Master,GRANDE,Cliente recurrente para validación de flujo completo de ventas
CLI-009,Empresa Cliente 9 Grande,2000000009,+507 5009-2009,+507 6109-9283,contacto@cliente9.com,Tienda 9,b2b,Panamá,Panamá City,Avenida 9, Local 14,Gerente 9,01,E,45,100000,0,active,Vendedor Master,GRANDE,Cliente recurrente para validación de flujo completo de ventas
CLI-010,Empresa Cliente 10 Grande,2000000010,+507 5010-2010,+507 6110-9283,contacto@cliente10.com,Tienda 10,b2b,Panamá,Panamá City,Avenida 10, Local 15,Gerente 10,01,A,45,100000,14000,active,Vendedor Master,GRANDE,Cliente recurrente para validación de flujo completo de ventas
CLI-011,Empresa Cliente 11 Grande,2000000011,+507 5011-2011,+507 6111-9283,contacto@cliente11.com,Tienda 11,b2b,Panamá,Panamá City,Avenida 11, Local 16,Gerente 11,01,B,45,100000,0,active,Vendedor Master,GRANDE,Cliente recurrente para validación de flujo completo de ventas
CLI-012,Empresa Cliente 12 Grande,2000000012,+507 5012-2012,+507 6112-9283,contacto@cliente12.com,Tienda 12,b2b,Panamá,Panamá City,Avenida 12, Local 17,Gerente 12,01,C,45,100000,0,active,Vendedor Master,GRANDE,Cliente recurrente para validación de flujo completo de ventas
CLI-013,Empresa Cliente 13 Grande,2000000013,+507 5013-2013,+507 6113-9283,contacto@cliente13.com,Tienda 13,b2b,Panamá,Panamá City,Avenida 13, Local 18,Gerente 13,01,D,45,100000,0,active,Vendedor Master,GRANDE,Cliente recurrente para validación de flujo completo de ventas
CLI-014,Empresa Cliente 14 Grande,2000000014,+507 5014-2014,+507 6114-9283,contacto@cliente14.com,Tienda 14,b2b,Panamá,Panamá City,Avenida 14, Local 19,Gerente 14,01,E,45,100000,0,active,Vendedor Master,GRANDE,Cliente recurrente para validación de flujo completo de ventas
CLI-015,Empresa Cliente 15 Grande,2000000015,+507 5015-2015,+507 6115-9283,contacto@cliente15.com,Tienda 15,b2b,Panamá,Panamá City,Avenida 15, Local 20,Gerente 15,01,A,45,100000,0,active,Vendedor Master,GRANDE,Cliente recurrente para validación de flujo completo de ventas
CLI-016,Empresa Cliente 16 Mediano,2000000016,+507 5016-2016,+507 6116-9283,contacto@cliente16.com,Tienda 16,b2b,Costa Rica,Panamá City,Avenida 16, Local 21,Gerente 16,01,B,30,50000,0,active,Vendedor Master,MEDIANO,Cliente recurrente para validación de flujo completo de ventas
CLI-017,Empresa Cliente 17 Mediano,2000000017,+507 5017-2017,+507 6117-9283,contacto@cliente17.com,Tienda 17,b2b,Panamá,Panamá City,Avenida 17, Local 22,Gerente 17,01,C,30,50000,0,active,Vendedor Master,MEDIANO,Cliente recurrente para validación de flujo completo de ventas
CLI-018,Empresa Cliente 18 Mediano,2000000018,+507 5018-2018,+507 6118-9283,contacto@cliente18.com,Tienda 18,b2b,Panamá,Panamá City,Avenida 18, Local 23,Gerente 18,01,D,30,50000,0,active,Vendedor Master,MEDIANO,Cliente recurrente para validación de flujo completo de ventas
CLI-019,Empresa Cliente 19 Mediano,2000000019,+507 5019-2019,+507 6119-9283,contacto@cliente19.com,Tienda 19,b2b,Panamá,Panamá City,Avenida 19, Local 24,Gerente 19,01,E,30,50000,0,active,Vendedor Master,MEDIANO,Cliente recurrente para validación de flujo completo de ventas
CLI-020,Empresa Cliente 20 Mediano,2000000020,+507 5020-2020,+507 6120-9283,contacto@cliente20.com,Tienda 20,b2b,Panamá,Panamá City,Avenida 20, Local 25,Gerente 20,01,A,30,50000,16000,active,Vendedor Master,MEDIANO,Cliente recurrente para validación de flujo completo de ventas
CLI-021,Empresa Cliente 21 Mediano,2000000021,+507 5021-2021,+507 6121-9283,contacto@cliente21.com,Tienda 21,b2b,Panamá,Panamá City,Avenida 21, Local 26,Gerente 21,01,B,30,50000,0,active,Vendedor Master,MEDIANO,Cliente recurrente para validación de flujo completo de ventas
CLI-022,Empresa Cliente 22 Mediano,2000000022,+507 5022-2022,+507 6122-9283,contacto@cliente22.com,Tienda 22,b2b,Panamá,Panamá City,Avenida 22, Local 27,Gerente 22,01,C,30,50000,0,active,Vendedor Master,MEDIANO,Cliente recurrente para validación de flujo completo de ventas
CLI-023,Empresa Cliente 23 Mediano,2000000023,+507 5023-2023,+507 6123-9283,contacto@cliente23.com,Tienda 23,b2b,Panamá,Panamá City,Avenida 23, Local 28,Gerente 23,01,D,30,50000,0,active,Vendedor Master,MEDIANO,Cliente recurrente para validación de flujo completo de ventas
CLI-024,Empresa Cliente 24 Mediano,2000000024,+507 5024-2024,+507 6124-9283,contacto@cliente24.com,Tienda 24,b2b,Costa Rica,Panamá City,Avenida 24, Local 29,Gerente 24,01,E,30,50000,0,active,Vendedor Master,MEDIANO,Cliente recurrente para validación de flujo completo de ventas
