Nombre Legal,Código,Nombre Comercial,NIT/RNC,Email,Teléfono,País,Dirección,Ciudad,Plazo de Pago,dv,Tipo Proveedor,Moneda,Límite Crédito,Saldo Pendiente,Estado,Banco,Cuenta Bancaria,Notas
Proveedor Demo 1 INT,SUP-001,Comercial 1,8000000001,admin@supplier1.com,+507 6001-1001,Curazao,Calle 1, Edificio 2,Ciudad Capital,60,10,MERCHANDISE,USD,50000,0,active,BAC Credomatic,PA00-7483-2947-1001,Socio comercial estratégico para pruebas QA
Proveedor Demo 2 INT,SUP-002,Comercial 2,8000000002,admin@supplier2.com,+507 6002-1002,República Dominicana,Calle 2, Edificio 4,Ciudad Capital,0,10,MERCHANDISE,USD,50000,0,active,Banistmo,PA00-7483-2947-1002,Socio comercial estratégico para pruebas QA
Proveedor Demo 3 INT,SUP-003,Comercial 3,8000000003,admin@supplier3.com,+507 6003-1003,Costa Rica,Calle 3, Edificio 6,Ciudad Capital,30,10,MERCHANDISE,USD,50000,0,active,Scotiabank,PA00-7483-2947-1003,Socio comercial estratégico para pruebas QA
Proveedor Demo 4 INT,SUP-004,Comercial 4,8000000004,admin@supplier4.com,+507 6004-1004,Colombia,Calle 4, Edificio 8,Ciudad Capital,60,10,MERCHANDISE,USD,50000,0,active,Global Bank,PA00-7483-2947-1004,Socio comercial estratégico para pruebas QA
Proveedor Demo 5 INT,SUP-005,Comercial 5,8000000005,admin@supplier5.com,+507 6005-1005,USA,Calle 5, Edificio 10,Ciudad Capital,0,10,MERCHANDISE,USD,50000,10000,active,Banco General,PA00-7483-2947-1005,Socio comercial estratégico para pruebas QA
Proveedor Demo 6 INT,SUP-006,Comercial 6,8000000006,admin@supplier6.com,+507 6006-1006,España,Calle 6, Edificio 12,Ciudad Capital,30,10,MERCHANDISE,USD,50000,0,active,BAC Credomatic,PA00-7483-2947-1006,Socio comercial estratégico para pruebas QA
Proveedor Demo 7 INT,SUP-007,Comercial 7,8000000007,admin@supplier7.com,+507 6007-1007,México,Calle 7, Edificio 14,Ciudad Capital,60,10,MERCHANDISE,USD,50000,0,active,Banistmo,PA00-7483-2947-1007,Socio comercial estratégico para pruebas QA
Proveedor Demo 8 INT,SUP-008,Comercial 8,8000000008,admin@supplier8.com,+507 6008-1008,Panamá,Calle 8, Edificio 16,Ciudad Capital,0,10,MERCHANDISE,USD,50000,0,active,Scotiabank,PA00-7483-2947-1008,Socio comercial estratégico para pruebas QA
Proveedor Demo 9 INT,SUP-009,Comercial 9,8000000009,admin@supplier9.com,+507 6009-1009,Curazao,Calle 9, Edificio 18,Ciudad Capital,30,10,MERCHANDISE,USD,50000,0,active,Global Bank,PA00-7483-2947-1009,Socio comercial estratégico para pruebas QA
Proveedor Demo 10 INT,SUP-010,Comercial 10,8000000010,admin@supplier10.com,+507 6010-1010,República Dominicana,Calle 10, Edificio 20,Ciudad Capital,60,10,MERCHANDISE,USD,50000,15000,active,Banco General,PA00-7483-2947-1010,Socio comercial estratégico para pruebas QA
Proveedor Demo 11 LOC,SUP-011,Comercial 11,8000000011,admin@supplier11.com,+507 6011-1011,Panamá,Calle 11, Edificio 22,Panamá City,0,10,MERCHANDISE,PAB,50000,0,active,BAC Credomatic,PA00-7483-2947-1011,Socio comercial estratégico para pruebas QA
Proveedor Demo 12 LOC,SUP-012,Comercial 12,8000000012,admin@supplier12.com,+507 6012-1012,Panamá,Calle 12, Edificio 24,Panamá City,30,10,MERCHANDISE,PAB,50000,0,active,Banistmo,PA00-7483-2947-1012,Socio comercial estratégico para pruebas QA
Proveedor Demo 13 LOC,SUP-013,Comercial 13,8000000013,admin@supplier13.com,+507 6013-1013,Panamá,Calle 13, Edificio 26,Panamá City,60,10,MERCHANDISE,PAB,50000,0,active,Scotiabank,PA00-7483-2947-1013,Socio comercial estratégico para pruebas QA
Proveedor Demo 14 LOC,SUP-014,Comercial 14,8000000014,admin@supplier14.com,+507 6014-1014,Panamá,Calle 14, Edificio 28,Panamá City,0,10,MERCHANDISE,PAB,50000,0,active,Global Bank,PA00-7483-2947-1014,Socio comercial estratégico para pruebas QA
Proveedor Demo 15 LOC,SUP-015,Comercial 15,8000000015,admin@supplier15.com,+507 6015-1015,Panamá,Calle 15, Edificio 30,Panamá City,30,10,MERCHANDISE,PAB,50000,20000,active,Banco General,PA00-7483-2947-1015,Socio comercial estratégico para pruebas QA
Proveedor Demo 16 LOC,SUP-016,Comercial 16,8000000016,admin@supplier16.com,+507 6016-1016,Panamá,Calle 16, Edificio 32,Panamá City,60,10,MERCHANDISE,PAB,50000,0,active,BAC Credomatic,PA00-7483-2947-1016,Socio comercial estratégico para pruebas QA
Proveedor Demo 17 LOC,SUP-017,Comercial 17,8000000017,admin@supplier17.com,+507 6017-1017,Panamá,Calle 17, Edificio 34,Panamá City,0,10,MERCHANDISE,PAB,50000,0,active,Banistmo,PA00-7483-2947-1017,Socio comercial estratégico para pruebas QA
